"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.911910772E2,6.507109000E1,2.550373333E1,1.671457394E1,1.173051953E0,9.830999756E1,1.600000024E0,1.100000000E1
1.921910772E2,6.507108833E1,2.550376167E1,1.681457255E1,1.192611337E0,1.123300018E2,1.600000024E0,1.089999962E1
1.931910772E2,6.507108500E1,2.550378667E1,1.691457198E1,1.228127241E0,1.120699997E2,1.600000024E0,1.050000000E1
1.941910772E2,6.507108000E1,2.550381000E1,1.691457211E1,1.294011712E0,1.104800034E2,1.600000024E0,1.039999962E1
1.951910772E2,6.507107667E1,2.550383833E1,1.681457130E1,1.300188303E0,9.588999939E1,1.600000024E0,1.060000038E1
1.961910772E2,6.507107833E1,2.550386833E1,1.671456862E1,1.282173038E0,9.847000122E1,1.700000048E0,1.069999981E1
1.971910772E2,6.507107667E1,2.550389000E1,1.661456770E1,1.270849109E0,8.136000061E1,1.600000024E0,1.069999981E1
1.981910772E2,6.507107833E1,2.550391000E1,1.661456572E1,1.240480542E0,9.066000366E1,1.600000024E0,1.089999962E1
1.991910772E2,6.507107667E1,2.550393333E1,1.651456468E1,1.197243929E0,1.055699997E2,1.600000024E0,1.100000000E1
2.001910772E2,6.507107333E1,2.550396833E1,1.661456341E1,1.200846910E0,1.139300003E2,1.600000024E0,1.060000038E1
2.011910772E2,6.507106833E1,2.550399833E1,1.651456307E1,1.197243929E0,1.124199982E2,1.700000048E0,1.069999981E1
2.021910772E2,6.507106667E1,2.550402333E1,1.641456191E1,1.209597230E0,1.120500031E2,1.600000024E0,1.060000038E1
2.031910772E2,6.507106333E1,2.550405000E1,1.681456122E1,1.198273301E0,9.947000122E1,1.700000048E0,1.080000019E1
2.041910772E2,6.507106333E1,2.550407667E1,1.701455936E1,1.200332165E0,1.055699997E2,1.700000048E0,1.100000000E1
2.051910772E2,6.507106000E1,2.550410000E1,1.671455891E1,1.184890509E0,1.118300018E2,1.700000048E0,1.100000000E1
2.061910772E2,6.507105667E1,2.550412167E1,1.631455856E1,1.189008355E0,9.987000275E1,1.700000048E0,1.100000000E1
2.071910772E2,6.507105167E1,2.550414333E1,1.571455881E1,1.194155574E0,1.065599976E2,1.600000024E0,1.110000038E1
2.081910772E2,6.507104667E1,2.550416667E1,1.531455893E1,1.197758555E0,1.062099991E2,1.600000024E0,1.119999981E1
2.091910772E2,6.507104000E1,2.550419000E1,1.461455964E1,1.220406413E0,1.110800018E2,1.600000024E0,1.139999962E1
2.101910772E2,6.507103667E1,2.550421000E1,1.401455942E1,1.199817538E0,1.016600037E2,1.600000024E0,1.150000000E1
2.111910772E2,6.507103833E1,2.550424333E1,1.321455651E1,1.195184946E0,9.751999664E1,1.600000024E0,1.119999981E1
2.121910772E2,6.507103500E1,2.550426833E1,1.271455594E1,1.173051953E0,1.085299988E2,1.600000024E0,1.100000000E1
2.131910772E2,6.507103000E1,2.550429667E1,1.251455571E1,1.194155574E0,1.088700027E2,1.600000024E0,1.110000038E1
2.141910772E2,6.507102667E1,2.550432667E1,1.221455479E1,1.198273301E0,1.160999985E2,1.600000024E0,1.089999962E1
2.151910772E2,6.507102500E1,2.550435167E1,1.191455363E1,1.183346391E0,1.039599991E2,1.600000024E0,1.069999981E1
2.161910772E2,6.507102167E1,2.550437667E1,1.201455305E1,1.180258036E0,1.007900009E2,1.600000024E0,1.039999962E1
2.171910772E2,6.507102000E1,2.550440833E1,1.221455143E1,1.182316899E0,1.035000000E2,1.600000024E0,1.050000000E1
2.181910772E2,6.507101833E1,2.550444333E1,1.211454957E1,1.200332165E0,1.071200027E2,1.600000024E0,1.060000038E1
2.191910772E2,6.507101667E1,2.550447000E1,1.171454830E1,1.199302793E0,1.149000015E2,1.600000024E0,1.050000000E1
2.201910772E2,6.507101000E1,2.550448833E1,1.151454935E1,1.193640828E0,1.171100006E2,1.600000024E0,1.060000038E1
2.211910772E2,6.507100833E1,2.550450833E1,1.161454854E1,1.176140308E0,1.052900009E2,1.600000024E0,1.060000038E1
2.221910772E2,6.507100500E1,2.550454000E1,1.211454750E1,1.175625563E0,1.056500015E2,1.600000024E0,1.050000000E1
2.231910772E2,6.507100500E1,2.550456667E1,1.271454564E1,1.159669161E0,1.075299988E2,1.600000024E0,1.060000038E1
